lat;long;place_id;place_name;place_website;place_rating;review_mean;review_std;checkins;users;place_website_4q;group_id;group_followers_count;world_rank;country_rank;link_numbers;distance_metro;district;rating
55.66401200000001;37.5228609;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;http://www.roddom4.ru/;4.2;;;;;;;;1486796.0;102707.0;65.0;2022.5688851638895;Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал;56
55.756777500000005;37.63874819999999;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;http://www.gnicpm.ru/;4.3;0.25;0.4330127018922193;67.0;31.0;https://www.gnicpm.ru;;;556465.0;38222.0;281.0;582.6340543292329;Россия, Москва, Центральный административный округ, Басманный район;100
55.755244999999995;37.656546999999996;ChIJ2acH14xKtUYRCFp01z3Cgbk;МедЦентрСервис;http://medtsentrservis.ru/;4.7;;;;;;100098038.0;474.0;10188597.0;;0.0;308.311597246617;Россия, Москва, Центральный административный округ, Басманный район;100
55.754048899999994;37.65267789999999;ChIJLxQqIvNKtUYR-uIe0wg46U8;МОБИЛМЕД;http://mobil-med.org/;3.0;0.29411764705882354;0.4556450995538137;1148.0;802.0;https://www.mobil-med.org;19541355.0;3935.0;693708.0;42464.0;32.0;751.5625580650577;Россия, Москва, Центральный административный округ, Басманный район;100
55.8659445;37.4308785;ChIJ5WSpXnc4tUYRPwl0z5Amt_k;Родильный дом №1;http://роддом-1.рф/;4.2;0.3157894736842105;0.46482951928041294;1737.0;869.0;;39745086.0;2936.0;3999612.0;313234.0;25.0;697.5589305455061;Россия, Москва, Северо-Западный административный округ, район Северное Тушино;11
55.699258400000005;37.49850120000001;ChIJndQv-KVMtUYRjZZU480U2eg;Семейный доктор, Поликлиника № 9;http://www.fdoctor.ru/;3.0;0.4090909090909091;0.4916660830178166;1255.0;351.0;http://www.fdoctor.ru/clinics/michurinski/;;;225651.0;14495.0;160.0;140.6525695056992;Россия, Москва, Западный административный округ, район Раменки;
55.713888;37.738622899999996;ChIJKeDwHZEc8UARviD1HO9_m2E;Научно-исследовательский центр детской нейропсихологии;http://detki-psy.ru/;5.0;;;;;;;;2846886.0;214265.0;100.0;805.4644221813547;Россия, Москва, Юго-Восточный административный округ, район Текстильщики;6
55.75603100000001;37.652759;ChIJJYwysYxKtUYRw_fA4eexdDM;Научно-исследовательская лечебная клиника остеопатии и хиропрактики;http://www.osteopat.ru/;4.3;;;;;;;;12402512.0;;8.0;724.0766823644559;Россия, Москва, Центральный административный округ, Басманный район;100
55.8811674;37.318826;ChIJdccCO0pHtUYRx8CONwZW4YA;Медси;http://medsi.ru/;4.5;0.325503355704698;0.4685626117496772;28214.0;6072.0;http://medsi.ru;28212376.0;3413.0;171754.0;9305.0;297.0;4522.443512282361;;
55.757131799999996;37.635032200000005;ChIJ18TnFV9KtUYRdPc5znsRHKQ;Ниармедик;http://www.nrmed.ru/;3.5;0.45;0.49749371855331;3221.0;963.0;http://www.nrmed.ru;50863587.0;8059.0;1067838.0;67319.0;144.0;416.33863569691493;Россия, Москва, Центральный административный округ, Басманный район;100
55.739763;37.51596410000001;ChIJo92fNuNLtUYRP_RnJkFCOOQ;Paleon;http://psyco.ru/;5.0;;;;;;;;4253625.0;384553.0;24.0;325.9757371291474;Россия, Москва, Западный административный округ, район Дорогомилово;112
