;place_id;place_name;place_rating;place_website;text;rating;time
0;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;4.2;http://www.roddom4.ru/;Рожала первый раз, пришли ночью, когда отошли воды.Быстро приняли, оформили (хотите еще больше ускорить процесс?Снимите заранее копии паспорта, СНИЛСа, и полиса),не берите никаких вещей кроме документов, телефона,зарядки и тапочек, остальное, даже свою одежду, в которой вы пришли придется отдать супругу или кто будет с вами.В приемном покое переодели в ночнушку и сразу отвели в родблок. В родблоке находится одна роженица, под постоянным наблюдением врачей, камер и аппаратуры. У меня роды принимала Гагина Мария Владимировна, акушерка от Бога, строга, но справедлива, слюни распускать не даст, а взбодрит и подскажет в нужный момент.Роды принимала вертикально.Отличный и легкий способ родить. После родов придется пару-тройку часиков полежать в коридоре с капельницей, но вас накормят и напоят.Малыши в это время лежат под лампой в соседней палате. После переводят в послеродовое отделение.Здесь санаторий. Все новенькое,чистенькое. Я попала в палату на двоих. В блоке всего две палаты, один общий душ и туалет. В палате кровати,тумбочки, пеленальный столик. После того, как меня привезли, пришла медсестра, расспросила, записала, объяснила все про мое состояние, позже пришла медсестра отделения новорожденных, раздала памятки и мыло для детей.Так же рассказала все необходимое на первые дни. В палате есть кнопка вызова медсестры. По утрам врачебный обход мам и дезинфекция швов, позже обход педиаторов,всегда можно все спрашивать, доктора все с удовольствием объясняют, одни в неведении вы не останитесь. Предусмотрено детское питание для детей, у чьих мам нет молочка и водичка. Если что то беспокоит, в любое время можно подойти и поинтересоваться. Персонал очень вежливый. Кароче мне все понравилось, за вторым приду сюда!;5.0;1500050819.0
1;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;4.2;http://www.roddom4.ru/;"Самый лучший роддом столицы!!! Самый лучший коллектив!!!
Самые лучшие условия!!!
Самые позитивные эмоции!!! Спасибо!!!???????????
";5.0;1504409811.0
2;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;4.2;http://www.roddom4.ru/;"Роддом #4 порадовал своей приятной атмосферой, доброжелательными и мега-профессиональными врачами и медсёстрами. Была в роддоме на ноябрьские праздники, и надо сказать, что даже в длинные выходные без присмотра заведующих отделениями и руководства, механизм роддома работал эффективно и точно как хорошие часы: все капельницы ставились, все обследования и осмотры проводились.
Отдельное спасибо супер-доктору Пономареву Дмитрию Анатольевичу. Человек с мега-позитивом и огромной харизмой, профессионал с горящими глазами, постоянно совершенствующий свои знания, объясняющий все шаги и предпринимаемые меры.
Насчёт питания многие пишут, так вот по сравнению с питанием в больницах Москвы, это просто санаторно-курортное питание. Очень приятные и милые девушки работали в буфете. Спасибо им огромное!";5.0;1480423781.0
3;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;4.2;http://www.roddom4.ru/;"Хороший роддом,  рожала там лапочку дочку. Отделение патологии на отлично, персонал весь отзывчивый, вежливый,  врачи хорошие, чисто, родблок тоже на отлично, акушерка, которая принимала роды,  просто замечательный человек,  спасибо ей большое и низкий поклон, но вот послеродовое отделение, это что то
Персонал ужасный, чего не спроси, один ответ- в памятке все написано, на посту тоже, либо спят, либо нет на месте,либо так отвечают, что лучше бы спали. Но это все равно не испортило впечатление, два других отделения все таки смогли перевесить позитивом. Еда, ну да, не ресторан конечно, но есть можно, жаловаться не хочу даже,  еда больничная, она и есть больничная,да и не до этого было)))  
Поеду ли я ещё раз туда рожать,  однозначно, да, поеду,  и если попаду на туже акушерку,  это будет просто чудесно)))
Спасибо))) ";5.0;1476048351.0
4;ChIJxUJiGhlNtUYRjyucIeHbeVI;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;4.2;http://www.roddom4.ru/;Рожала в 2016 , обезболивание делали ни какие бумаги не подписывала, попал к девушке молодой , это был ужас , обезболивание какое-то  в кололи , мне спать захотелось , а тут рожать родила с разрывами ,так это девушка ещё зашивала  ,это день я запомнила лежала в коридоре в слезах от боли , в палату в 5 утра нас положили хотя родила в 1:30  от усталости столько лежать болела спина , 25роддоме лучше было . ;1.0;1484579987.0
5;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;4.3;http://www.gnicpm.ru/;Добрый день. Хочу сказать огромное спасибо доктору Кулику Александру! Большой профессионал своего дела, очень внимательный и чуткий! Лазерную коррекцию ребенку провел безупречно! Ребенок теперь хорошо видит и не нуждается в очках! Всем советую!;5.0;1501265346.0
6;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;4.3;http://www.gnicpm.ru/;Была у терапевтов Васильевых. Огромное спасибо, вам, дорогие! Была на узи в каб 135( простите, если ошиблась), врач волшебная, спасибо, определила проблему! До этого делала 4 узи в др клиниках(в европе, Азии), ничего не нашли! Наши- лучшие! В следующую проверку только к вашим докторам.;5.0;1511253786.0
7;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;4.3;http://www.gnicpm.ru/;Большинство врачей, к которым обращалась в ГНИЦ МП, оказались профессиональными и очень заботливыми. Огромная разница с местной поликлиникой и с некоторыми платными поликлиниками. Особенно благодарна врачу-гинекологу М.Ю. Шубиной, которая оказалась просто находкой тогда, когда в других клиниках с имеющимися у меня проблемами не обещали ничего хорошего. Во многом благодаря помощи Марины Юрьевны все решилось наилучшим образом:);5.0;1496062967.0
8;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;4.3;http://www.gnicpm.ru/;"В этой поликлинике наплевать на расписание. Вы можете быть записаны на 9, а зайти в 11. Плевать, что вы заплатили деньги. Вперед вас протолкнут больных из своей больницы. Не особо скрываясь придут люди ""от главврача"". Примут пациента опоздавшего на час. Запись к доктору за месяц - это норма. При этом не факт, что вас потом приму. Утверждение лечения со страховой  - может занимать час, полтора. В общем сплошной позитив.";2.0;1493105617.0
9;ChIJB437ifVKtUYR7EMUU6VApLg;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;4.3;http://www.gnicpm.ru/;Была записана к терапевту, пришла вовремя, просидела Целый Час в очереди! Кошмар!!!;1.0;1500902396.0
10;ChIJ2acH14xKtUYRCFp01z3Cgbk;МедЦентрСервис;4.7;http://medtsentrservis.ru/;"Аферисты. 
Пришёл сделать анализ на тестостерон..сказали, он низкий. Потом врач этой ""клиники"" предложила сделать другие анализы, чтобы выявить причину. Таким образом у меня выявили простатит и другие заболевания. Во время приёма врач очень сильно запугала. Предложили делать капельницы за 35-40 тысяч. 
Пришлось переделать все эти анализы. Выяснилось, простатита совсем нет, в других анализах были небольшие отклонения, которые не требуют даже лечения. Цифры в них были завышены в 10-20 раз.";1.0;1511098210.0
